PL/0 code:

0	INC	 	7
1	INP	 	 
2	STO	0	4
3	INP	 	 
4	STO	0	5
5	LOD	 	4
6	LOD	 	5
7	MUL	 	4
8	STO	0	6
9	LOD	 	6
10	OUT	 	 
11	HLT	 	 

Execution:
				pc	bp	sp	stack
				 0	 1	 0
0	INC	 	7	1	 1	 7	0 0 0 0 0 0 0 
1	INP	 	 	2	 1	 8	0 0 0 0 0 0 0 1134 
2	STO	0	4	3	 1	 7	0 0 0 0 1134 0 0 
3	INP	 	 	4	 1	 8	0 0 0 0 1134 0 0 778 
4	STO	0	5	5	 1	 7	0 0 0 0 1134 778 0 
5	LOD	 	4	6	 1	 8	0 0 0 0 1134 778 0 1134 
6	LOD	 	5	7	 1	 9	0 0 0 0 1134 778 0 1134 778 
7	MUL	 	4	8	 1	 8	0 0 0 0 1134 778 0 882252 
8	STO	0	6	9	 1	 7	0 0 0 0 1134 778 882252 
9	LOD	 	6	10	 1	 8	0 0 0 0 1134 778 882252 882252 
10	OUT	 	 	11	 1	 7	0 0 0 0 1134 778 882252 
11	HLT	 	 	12	 1	 7	0 0 0 0 1134 778 882252 
